,trade_id,entry_date,exit_date,position_type,entry_price,exit_price,pnl
0,1,2020-01-01 04:20:00,2020-01-01 06:10:00,SHORT,7196.0,7205.57,-0.0013299055030572137
1,2,2020-01-01 06:10:00,2020-01-01 07:40:00,LONG,7205.57,7179.79,-0.0035777877392072725
2,3,2020-01-01 07:40:00,2020-01-01 10:30:00,SHORT,7179.79,7185.16,-0.0007479327389798157
3,4,2020-01-01 10:30:00,2020-01-01 16:40:00,LONG,7185.16,7204.3,0.002663823770103982
4,5,2020-01-01 16:40:00,2020-01-01 16:50:00,SHORT,7204.3,7223.86,-0.0027150451813499565
5,6,2020-01-01 16:50:00,2020-01-01 19:00:00,LONG,7223.86,7209.01,-0.002055687679440002
6,7,2020-01-01 19:00:00,2020-01-01 21:00:00,SHORT,7209.01,7220.0,-0.001524481170091286
7,8,2020-01-01 21:00:00,2020-01-01 21:50:00,LONG,7220.0,7216.21,-0.0005249307479224326
8,9,2020-01-01 21:50:00,2020-01-02 08:30:00,SHORT,7216.21,7119.6,0.013387914154382934
9,10,2020-01-02 08:30:00,2020-01-02 11:50:00,LONG,7119.6,7120.0,5.618293162532111e-05
10,11,2020-01-02 11:50:00,2020-01-02 19:50:00,SHORT,7120.0,6965.0,0.021769662921348316
11,12,2020-01-02 19:50:00,2020-01-02 20:30:00,LONG,6965.0,6936.65,-0.004070351758794022
12,13,2020-01-02 20:30:00,2020-01-02 22:00:00,SHORT,6936.65,6945.61,-0.0012916897926232456
13,14,2020-01-02 22:00:00,2020-01-02 23:50:00,LONG,6945.61,6945.02,-8.494574270643415e-05
14,15,2020-01-02 23:50:00,2020-01-03 02:50:00,SHORT,6945.02,6938.93,0.0008768873235786427
15,16,2020-01-03 02:50:00,2020-01-03 13:00:00,LONG,6938.93,7319.55,0.054852837541234725
16,17,2020-01-03 13:00:00,2020-01-03 13:30:00,SHORT,7319.55,7319.25,4.098612619630741e-05
17,18,2020-01-03 13:30:00,2020-01-03 14:00:00,LONG,7319.25,7263.49,-0.007618266898930931
18,19,2020-01-03 14:00:00,2020-01-03 16:00:00,SHORT,7263.49,7325.0,-0.008468380902293555
19,20,2020-01-03 16:00:00,2020-01-03 19:00:00,LONG,7325.0,7291.24,-0.004608873720136549
20,21,2020-01-03 19:00:00,2020-01-03 23:20:00,SHORT,7291.24,7328.12,-0.0050581245439733314
